Year,Lg,Team,W,L,Winpct
1992,NBA,NYK,60,22,0.732
1992,NBA,PHI,26,56,0.317
1992,NBA,NJN,43,39,0.524
1992,NBA,MIN,19,63,0.232
1992,NBA,SEA,55,27,0.671
1992,NBA,DEN,36,46,0.439
1992,NBA,POR,51,31,0.622
1992,NBA,UTA,47,35,0.573
1992,NBA,CLE,54,28,0.659
1992,NBA,DET,40,42,0.488
1992,NBA,MIL,28,54,0.341
1992,NBA,IND,41,41,0.5
1992,NBA,CHI,57,25,0.695
1992,NBA,GSW,34,48,0.415
1992,NBA,LAC,41,41,0.5
1992,NBA,PHX,62,20,0.756
1992,NBA,SAC,25,57,0.305
1992,NBA,LAL,39,43,0.476
1992,NBA,WSB,22,60,0.268
1992,NBA,MIA,36,46,0.439
1992,NBA,CHH,44,38,0.537
1992,NBA,ORL,41,41,0.5
1992,NBA,ATL,43,39,0.524
1992,NBA,HOU,55,27,0.671
1992,NBA,SAS,49,33,0.598
1992,NBA,DAL,11,71,0.134
1991,NBA,BOS,51,31,0.622
1991,NBA,NYK,51,31,0.622
1991,NBA,PHI,35,47,0.427
1991,NBA,NJN,40,42,0.488
1991,NBA,MIN,15,67,0.183
1991,NBA,SEA,47,35,0.573
1991,NBA,DEN,24,58,0.293
1991,NBA,POR,57,25,0.695
1991,NBA,UTA,55,27,0.671
1991,NBA,CLE,57,25,0.695
1991,NBA,DET,48,34,0.585
1991,NBA,MIL,31,51,0.378
1991,NBA,IND,40,42,0.488
1991,NBA,CHI,67,15,0.817
1991,NBA,GSW,55,27,0.671
1991,NBA,LAC,45,37,0.549
1991,NBA,PHX,53,29,0.646
1991,NBA,SAC,29,53,0.354
1991,NBA,LAL,43,39,0.524
1991,NBA,WSB,25,57,0.305
1991,NBA,MIA,38,44,0.463
1991,NBA,CHH,31,51,0.378
1991,NBA,ORL,21,61,0.256
1991,NBA,ATL,38,44,0.463
1991,NBA,HOU,42,40,0.512
1991,NBA,SAS,47,35,0.573
1991,NBA,DAL,22,60,0.268
1990,NBA,BOS,56,26,0.683
1990,NBA,NYK,39,43,0.476
1990,NBA,PHI,44,38,0.537
1990,NBA,NJN,26,56,0.317
1990,NBA,MIN,29,53,0.354
1990,NBA,SEA,41,41,0.5
1990,NBA,DEN,20,62,0.244
1990,NBA,POR,63,19,0.768
1990,NBA,UTA,54,28,0.659
1990,NBA,CLE,33,49,0.402
1990,NBA,DET,50,32,0.61
1990,NBA,MIL,48,34,0.585
1990,NBA,IND,41,41,0.5
1990,NBA,CHI,61,21,0.744
1990,NBA,GSW,44,38,0.537
1990,NBA,LAC,31,51,0.378
1990,NBA,PHX,55,27,0.671
1990,NBA,SAC,25,57,0.305
1990,NBA,LAL,58,24,0.707
1990,NBA,WSB,30,52,0.366
1990,NBA,MIA,24,58,0.293
1990,NBA,CHH,26,56,0.317
1990,NBA,ORL,31,51,0.378
1990,NBA,ATL,43,39,0.524
1990,NBA,HOU,52,30,0.634
1990,NBA,SAS,55,27,0.671
1990,NBA,DAL,28,54,0.341
1989,NBA,BOS,52,30,0.634
1989,NBA,NYK,45,37,0.549
1989,NBA,PHI,53,29,0.646
1989,NBA,NJN,17,65,0.207
1989,NBA,MIN,22,60,0.268
1989,NBA,SEA,41,41,0.5
1989,NBA,DEN,43,39,0.524
1989,NBA,POR,59,23,0.72
1989,NBA,UTA,55,27,0.671
1989,NBA,CLE,42,40,0.512
1989,NBA,DET,59,23,0.72
1989,NBA,MIL,44,38,0.537
1989,NBA,IND,42,40,0.512
1989,NBA,CHI,55,27,0.671
1989,NBA,GSW,37,45,0.451
1989,NBA,LAC,30,52,0.366
1989,NBA,PHX,54,28,0.659
1989,NBA,SAC,23,59,0.28
1989,NBA,LAL,63,19,0.768
1989,NBA,WSB,31,51,0.378
1989,NBA,MIA,18,64,0.22
1989,NBA,CHH,19,63,0.232
1989,NBA,ORL,18,64,0.22
1989,NBA,ATL,41,41,0.5
1989,NBA,HOU,41,41,0.5
1989,NBA,SAS,56,26,0.683
1989,NBA,DAL,47,35,0.573
1988,NBA,BOS,42,40,0.512
1988,NBA,NYK,52,30,0.634
1988,NBA,PHI,46,36,0.561
1988,NBA,NJN,26,56,0.317
1988,NBA,SEA,47,35,0.573
1988,NBA,DEN,44,38,0.537
1988,NBA,POR,39,43,0.476
1988,NBA,UTA,51,31,0.622
1988,NBA,CLE,57,25,0.695
1988,NBA,DET,63,19,0.768
1988,NBA,MIL,49,33,0.598
1988,NBA,IND,28,54,0.341
1988,NBA,CHI,47,35,0.573
1988,NBA,GSW,43,39,0.524
1988,NBA,LAC,21,61,0.256
1988,NBA,PHX,55,27,0.671
1988,NBA,SAC,27,55,0.329
1988,NBA,LAL,57,25,0.695
1988,NBA,WSB,40,42,0.488
1988,NBA,MIA,15,67,0.183
1988,NBA,CHH,20,62,0.244
1988,NBA,ATL,52,30,0.634
1988,NBA,HOU,45,37,0.549
1988,NBA,SAS,21,61,0.256
1988,NBA,DAL,38,44,0.463
1987,NBA,BOS,57,25,0.695
1987,NBA,NYK,38,44,0.463
1987,NBA,PHI,36,46,0.439
1987,NBA,NJN,19,63,0.232
1987,NBA,SEA,44,38,0.537
1987,NBA,DEN,54,28,0.659
1987,NBA,POR,53,29,0.646
1987,NBA,UTA,47,35,0.573
1987,NBA,CLE,42,40,0.512
1987,NBA,DET,54,28,0.659
1987,NBA,MIL,42,40,0.512
1987,NBA,IND,38,44,0.463
1987,NBA,CHI,50,32,0.61
1987,NBA,GSW,20,62,0.244
1987,NBA,LAC,17,65,0.207
1987,NBA,PHX,28,54,0.341
1987,NBA,SAC,24,58,0.293
1987,NBA,LAL,62,20,0.756
1987,NBA,WSB,38,44,0.463
1987,NBA,ATL,50,32,0.61
1987,NBA,HOU,46,36,0.561
1987,NBA,SAS,31,51,0.378
1987,NBA,DAL,53,29,0.646
1986,NBA,BOS,59,23,0.72
1986,NBA,NYK,24,58,0.293
1986,NBA,PHI,45,37,0.549
1986,NBA,NJN,24,58,0.293
1986,NBA,SEA,39,43,0.476
1986,NBA,DEN,37,45,0.451
1986,NBA,POR,49,33,0.598
1986,NBA,UTA,44,38,0.537
1986,NBA,CLE,31,51,0.378
1986,NBA,DET,52,30,0.634
1986,NBA,MIL,50,32,0.61
1986,NBA,IND,41,41,0.5
1986,NBA,CHI,40,42,0.488
1986,NBA,GSW,42,40,0.512
1986,NBA,LAC,12,70,0.146
1986,NBA,PHX,36,46,0.439
1986,NBA,SAC,29,53,0.354
1986,NBA,LAL,65,17,0.793
1986,NBA,WSB,42,40,0.512
1986,NBA,ATL,57,25,0.695
1986,NBA,HOU,42,40,0.512
1986,NBA,SAS,28,54,0.341
1986,NBA,DAL,55,27,0.671
1985,NBA,BOS,67,15,0.817
1985,NBA,NYK,23,59,0.28
1985,NBA,PHI,54,28,0.659
1985,NBA,NJN,39,43,0.476
1985,NBA,SEA,31,51,0.378
1985,NBA,DEN,47,35,0.573
1985,NBA,POR,40,42,0.488
1985,NBA,UTA,42,40,0.512
1985,NBA,CLE,29,53,0.354
1985,NBA,DET,46,36,0.561
1985,NBA,MIL,57,25,0.695
1985,NBA,IND,26,56,0.317
1985,NBA,CHI,30,52,0.366
1985,NBA,GSW,30,52,0.366
1985,NBA,LAC,32,50,0.39
1985,NBA,PHX,32,50,0.39
1985,NBA,SAC,37,45,0.451
1985,NBA,LAL,62,20,0.756
1985,NBA,WSB,39,43,0.476
1985,NBA,ATL,50,32,0.61
1985,NBA,HOU,51,31,0.622
1985,NBA,SAS,35,47,0.427
1985,NBA,DAL,44,38,0.537
1984,NBA,BOS,63,19,0.768
1984,NBA,NYK,24,58,0.293
1984,NBA,PHI,58,24,0.707
1984,NBA,NJN,42,40,0.512
1984,NBA,SEA,31,51,0.378
1984,NBA,DEN,52,30,0.634
1984,NBA,POR,42,40,0.512
1984,NBA,UTA,41,41,0.5
1984,NBA,CLE,36,46,0.439
1984,NBA,DET,46,36,0.561
1984,NBA,MIL,59,23,0.72
1984,NBA,IND,22,60,0.268
1984,NBA,CHI,38,44,0.463
1984,NBA,GSW,22,60,0.268
1984,NBA,LAC,31,51,0.378
1984,NBA,PHX,36,46,0.439
1984,NBA,KCK,31,51,0.378
1984,NBA,LAL,62,20,0.756
1984,NBA,WSB,40,42,0.488
1984,NBA,ATL,34,48,0.415
1984,NBA,HOU,48,34,0.585
1984,NBA,SAS,41,41,0.5
1984,NBA,DAL,44,38,0.537
1983,NBA,BOS,62,20,0.756
1983,NBA,NYK,47,35,0.573
1983,NBA,PHI,52,30,0.634
1983,NBA,NJN,45,37,0.549
1983,NBA,SEA,42,40,0.512
1983,NBA,DEN,38,44,0.463
1983,NBA,POR,48,34,0.585
1983,NBA,UTA,45,37,0.549
1983,NBA,CLE,28,54,0.341
1983,NBA,DET,49,33,0.598
1983,NBA,MIL,50,32,0.61
1983,NBA,IND,26,56,0.317
1983,NBA,CHI,27,55,0.329
1983,NBA,GSW,37,45,0.451
1983,NBA,SDC,30,52,0.366
1983,NBA,PHX,41,41,0.5
1983,NBA,KCK,38,44,0.463
1983,NBA,LAL,54,28,0.659
1983,NBA,WSB,35,47,0.427
1983,NBA,ATL,40,42,0.488
1983,NBA,HOU,29,53,0.354
1983,NBA,SAS,37,45,0.451
1983,NBA,DAL,43,39,0.524
1982,NBA,BOS,56,26,0.683
1982,NBA,NYK,44,38,0.537
1982,NBA,PHI,65,17,0.793
1982,NBA,NJN,49,33,0.598
1982,NBA,SEA,48,34,0.585
1982,NBA,DEN,45,37,0.549
1982,NBA,POR,46,36,0.561
1982,NBA,UTA,30,52,0.366
1982,NBA,CLE,23,59,0.28
1982,NBA,DET,37,45,0.451
1982,NBA,MIL,51,31,0.622
1982,NBA,IND,20,62,0.244
1982,NBA,CHI,28,54,0.341
1982,NBA,GSW,30,52,0.366
1982,NBA,SDC,25,57,0.305
1982,NBA,PHX,53,29,0.646
1982,NBA,KCK,45,37,0.549
1982,NBA,LAL,58,24,0.707
1982,NBA,WSB,42,40,0.512
1982,NBA,ATL,43,39,0.524
1982,NBA,HOU,14,68,0.171
1982,NBA,SAS,53,29,0.646
1982,NBA,DAL,38,44,0.463
1981,NBA,BOS,63,19,0.768
1981,NBA,NYK,33,49,0.402
1981,NBA,PHI,58,24,0.707
1981,NBA,NJN,44,38,0.537
1981,NBA,SEA,52,30,0.634
1981,NBA,DEN,46,36,0.561
1981,NBA,POR,42,40,0.512
1981,NBA,UTA,25,57,0.305
1981,NBA,CLE,15,67,0.183
1981,NBA,DET,39,43,0.476
1981,NBA,MIL,55,27,0.671
1981,NBA,IND,35,47,0.427
1981,NBA,CHI,34,48,0.415
1981,NBA,GSW,45,37,0.549
1981,NBA,SDC,17,65,0.207
1981,NBA,PHX,46,36,0.561
1981,NBA,KCK,30,52,0.366
1981,NBA,LAL,57,25,0.695
1981,NBA,WSB,43,39,0.524
1981,NBA,ATL,42,40,0.512
1981,NBA,HOU,46,36,0.561
1981,NBA,SAS,48,34,0.585
1981,NBA,DAL,28,54,0.341
1980,NBA,BOS,62,20,0.756
1980,NBA,NYK,50,32,0.61
1980,NBA,PHI,62,20,0.756
1980,NBA,NJN,24,58,0.293
1980,NBA,SEA,34,48,0.415
1980,NBA,DEN,37,45,0.451
1980,NBA,POR,45,37,0.549
1980,NBA,UTA,28,54,0.341
1980,NBA,CLE,28,54,0.341
1980,NBA,DET,21,61,0.256
1980,NBA,MIL,60,22,0.732
1980,NBA,IND,44,38,0.537
1980,NBA,CHI,45,37,0.549
1980,NBA,GSW,39,43,0.476
1980,NBA,SDC,36,46,0.439
1980,NBA,PHX,57,25,0.695
1980,NBA,KCK,40,42,0.488
1980,NBA,LAL,54,28,0.659
1980,NBA,WSB,39,43,0.476
1980,NBA,ATL,31,51,0.378
1980,NBA,HOU,40,42,0.488
1980,NBA,SAS,52,30,0.634
1980,NBA,DAL,15,67,0.183
