Year,Lg,Team,W,L,Winpct
2012,NBA,SAC,28,54,0.341
2012,NBA,LAL,45,37,0.549
2012,NBA,WAS,29,53,0.354
2012,NBA,MIA,66,16,0.805
2012,NBA,CHA,21,61,0.256
2012,NBA,ORL,20,62,0.244
2012,NBA,ATL,44,38,0.537
2012,NBA,HOU,45,37,0.549
2012,NBA,SAS,58,24,0.707
2012,NBA,NOH,27,55,0.329
2012,NBA,DAL,41,41,0.5
2012,NBA,MEM,56,26,0.683
2011,NBA,BOS,39,27,0.591
2011,NBA,TOR,23,43,0.348
2011,NBA,NYK,36,30,0.545
2011,NBA,PHI,35,31,0.53
2011,NBA,NJN,22,44,0.333
2011,NBA,MIN,26,40,0.394
2011,NBA,OKC,47,19,0.712
2011,NBA,DEN,38,28,0.576
2011,NBA,POR,28,38,0.424
2011,NBA,UTA,36,30,0.545
2011,NBA,CLE,21,45,0.318
2011,NBA,DET,25,41,0.379
2011,NBA,MIL,31,35,0.47
2011,NBA,IND,42,24,0.636
2011,NBA,CHI,50,16,0.758
2011,NBA,GSW,23,43,0.348
2011,NBA,LAC,40,26,0.606
2011,NBA,PHX,33,33,0.5
2011,NBA,SAC,22,44,0.333
2011,NBA,LAL,41,25,0.621
2011,NBA,WAS,20,46,0.303
2011,NBA,MIA,46,20,0.697
2011,NBA,CHA,7,59,0.106
2011,NBA,ORL,37,29,0.561
2011,NBA,ATL,40,26,0.606
2011,NBA,HOU,34,32,0.515
2011,NBA,SAS,50,16,0.758
2011,NBA,NOH,21,45,0.318
2011,NBA,DAL,36,30,0.545
2011,NBA,MEM,41,25,0.621
2010,NBA,BOS,56,26,0.683
2010,NBA,TOR,22,60,0.268
2010,NBA,NYK,42,40,0.512
2010,NBA,PHI,41,41,0.5
2010,NBA,NJN,24,58,0.293
2010,NBA,MIN,17,65,0.207
2010,NBA,OKC,55,27,0.671
2010,NBA,DEN,50,32,0.61
2010,NBA,POR,48,34,0.585
2010,NBA,UTA,39,43,0.476
2010,NBA,CLE,19,63,0.232
2010,NBA,DET,30,52,0.366
2010,NBA,MIL,35,47,0.427
2010,NBA,IND,37,45,0.451
2010,NBA,CHI,62,20,0.756
2010,NBA,GSW,36,46,0.439
2010,NBA,LAC,32,50,0.39
2010,NBA,PHX,40,42,0.488
2010,NBA,SAC,24,58,0.293
2010,NBA,LAL,57,25,0.695
2010,NBA,WAS,23,59,0.28
2010,NBA,MIA,58,24,0.707
2010,NBA,CHA,34,48,0.415
2010,NBA,ORL,52,30,0.634
2010,NBA,ATL,44,38,0.537
2010,NBA,HOU,43,39,0.524
2010,NBA,SAS,61,21,0.744
2010,NBA,NOH,46,36,0.561
2010,NBA,DAL,57,25,0.695
2010,NBA,MEM,46,36,0.561
2009,NBA,BOS,50,32,0.61
2009,NBA,TOR,40,42,0.488
2009,NBA,NYK,29,53,0.354
2009,NBA,PHI,27,55,0.329
2009,NBA,NJN,12,70,0.146
2009,NBA,MIN,15,67,0.183
2009,NBA,OKC,50,32,0.61
2009,NBA,DEN,53,29,0.646
2009,NBA,POR,50,32,0.61
2009,NBA,UTA,53,29,0.646
